"Operation","Description","Severity"
"Add app role assignment grant to user.","Logged when a specific application role is assigned to a user in Microsoft Entra ID.","Red"
"Add delegated permissions grant.","API permissions have been delegated to an application.","Red"
"Add OAuth2PermissionGrant","Indicates that a delegated OAuth 2.0 permission (scope) has been granted to an application, allowing it to access resources (like mailbox data or user profiles) on behalf of a user.","Red"
"Add service principal","An application was registered in Entra ID. An application is represented by a service principal in the directory.","Red"
"Add-MailboxFolderPermission","Add permissions on a mailbox folder","Red"
"Add-MailboxPermission","Added delegate mailbox permissions","Red"
"Add-RecipientPermission","Add SendAs permission to users mailbox (in a cloud-based organization)","Red"
"AtpDetection","Threat Detection Event by Microsoft Defender for Office 365","Red"
"Consent to application.","Logged when a user or administrator grants permissions to an application in Microsoft Entra ID.","Red"
"Disable-InboxRule","Disable an existing Inbox Rule in a mailbox","Red"
"Disable-TransportRule","Logged when an administrator disables a transport rule.","Red"
"Enable-InboxRule","Enable an existing Inbox Rule in a mailbox","Red"
"Enable-TransportRule","Logged when an administrator enables a transport rule.","Red"
"FileSyncDownloadedFull","A user downloaded a file to their computer from a SharePoint document library or OneDrive using OneDrive sync app (OneDrive.exe) --> SharePoint Synchronization for Offline Usage / Data Exfiltration","Red"
"HygieneTenantEvents","Related to Exchange Online Protection and Microsoft Defender for Office 365. Hygiene events are related to outbound spam protection. These events are related to users who are restricted from sending email.","Red"
"New-InboundConnector","Setup a new email inbound connector","Red"
"New-InboxRule","Create a new Inbox Rule in a mailbox","Red"
"New-TransportRule","Logged when an administrator creates a new transport rule.","Red"
"Remove-InboxRule","Remove an existing Inbox Rule in a mailbox","Red"
"Remove-MailboxPermission","Logged when an admin or user removes permissions (e.g. FullAccess) from a mailbox","Red"
"SearchQueryInitiatedExchange","Logged when a user submits a search query in Exchange Online.","Red"
"SearchQueryInitiatedSharePoint","Logged when a user submits a search query in SharePoint Online.","Red"
"Set-AdminAuditLogConfig","Logged when an administrator modifies the audit logging configuration (Anti-Forensics)","Red"
"Set-InboxRule","Modify an existing Inbox Rule in a mailbox","Red"
"Set-Mailbox","Change an existing mailbox, often used for setting up forwarding rules","Red"
"Set-MailboxFolderPermission","Set permissions on a mailbox folder","Red"
"Set-MailboxJunkEmailConfiguration","Configure a Junk E-Mail rule for a specific mailbox (Outbound Spam)","Red"
"Set-TransportRule","Logged when an administrator modifies an existing transport rule.","Red"
"ThreatIntelligenceAtpFile","Indicates activity related to Microsoft Defender for Office 365, specifically tracking actions associated with malicious files, such as those detected in email attachments or SharePoint/OneDrive/Teams files.","Red"
"UpdateInboxRules","The operation 'UpdateInboxRules' is typically seen when rules are created or modified via an Outlook Desktop client using the EWS API.","Red"